epoch_ms,cpu_percent,rss_kib,temp_c
1786596309516,0.0,15872,59.8
1786596310044,22.6,78256,58.2
1786596310563,11.4,78256,59.3
1786596311081,11.5,126064,60.4
1786596311610,15.7,158848,59.8
1786596312129,17.2,177840,60.4
1786596312648,17.8,177840,59.8
1786596313169,18.6,177840,60.4
1786596313690,18.9,177856,58.7
1786596314221,19.5,177856,58.7
1786596314748,20.0,177856,59.3
1786596315271,20.6,179088,60.4
1786596315796,21.0,179136,59.8
1786596316319,21.1,179136,59.3
1786596316842,21.8,179152,59.8
1786596317367,21.7,179168,59.3
1786596317887,21.7,179200,59.8
1786596318410,21.7,179280,60.9
1786596318937,21.7,179280,59.8
1786596319455,21.7,179296,58.7
1786596319973,21.7,179312,59.3
1786596320494,21.6,179312,60.4
1786596321017,21.5,179328,60.4
1786596321539,21.6,179392,59.3
1786596322059,21.6,179504,59.8
1786596322582,21.8,179504,60.4
1786596323108,22.0,179504,59.8
1786596323633,22.1,179520,60.4
1786596324165,22.3,179520,59.8
1786596324693,22.4,179520,58.2
1786596325222,22.4,179520,59.8
1786596325752,22.5,179552,58.7
1786596326281,22.6,179552,57.6
1786596326810,22.8,179552,57.6
1786596327343,22.8,179552,57.6
1786596327870,22.9,179568,59.3
1786596328396,22.8,179568,58.7
1786596328921,23.0,179568,58.7
1786596329447,23.1,181984,59.3
1786596329972,23.2,181984,59.8
1786596330500,23.4,182000,60.4
1786596331033,23.3,182000,59.8
1786596331553,23.1,182016,58.7
1786596332077,23.1,182032,59.8
1786596332597,23.0,182032,60.4
1786596333116,23.0,182032,59.8
1786596333635,22.9,182032,60.9
1786596334157,22.9,182032,60.4
1786596334680,22.8,182032,58.7
1786596335200,22.7,182032,60.4
1786596335719,22.7,182032,59.3
1786596336244,22.8,182032,59.8
1786596336769,22.8,182032,57.6
1786596337297,22.9,182032,59.8
1786596337829,23.0,182048,58.2
1786596338355,23.0,182048,58.7
1786596338887,22.9,182048,59.3
1786596339412,22.9,182048,60.9
1786596339930,22.9,182080,60.4
