epoch_ms,cpu_percent,rss_kib,temp_c
1786599206111,0.0,16928,58.2
1786599206640,15.0,58752,59.3
1786599207158,7.6,58752,58.7
1786599207676,12.1,110320,59.8
1786599208194,12.4,121872,59.3
1786599208714,13.0,127296,59.8
1786599209232,11.8,128128,58.2
1786599209753,11.5,128128,59.3
1786599210272,11.5,128128,58.7
1786599210790,11.3,128128,58.7
1786599211309,11.1,128176,59.3
1786599211830,11.1,128176,59.8
1786599212349,11.0,128192,60.4
1786599212869,10.9,128192,59.8
1786599213387,11.5,128240,58.7
1786599213913,11.2,128240,58.7
1786599214438,11.4,128240,58.2
1786599214963,11.5,128240,58.7
1786599215489,11.5,128240,59.3
1786599216016,11.6,128240,58.7
1786599216540,11.7,128240,58.2
1786599217064,11.8,128240,57.6
1786599217587,11.9,128240,57.6
1786599218113,12.3,128256,58.7
1786599218638,12.1,128256,58.2
1786599219169,12.3,128256,58.7
1786599219694,12.2,128256,58.2
1786599220222,12.3,128256,58.2
1786599220748,12.3,128256,58.2
1786599221273,12.4,128256,57.6
1786599221797,12.4,128256,58.7
1786599222321,12.5,128256,58.2
1786599222846,12.6,129520,57.6
1786599223371,12.6,129520,58.7
1786599223902,12.6,129520,57.6
1786599224430,12.6,129520,58.2
1786599224958,12.7,129520,58.7
1786599225482,12.7,129520,57.6
1786599226007,12.7,129520,58.2
1786599226534,12.8,129520,56.5
1786599227058,12.8,129520,57.6
1786599227583,12.9,129552,57.6
1786599228108,12.9,129552,58.7
1786599228634,12.9,129552,58.7
1786599229163,12.9,129552,59.3
1786599229693,12.9,129552,57.6
1786599230217,13.0,129552,58.7
1786599230743,13.0,129552,57.6
1786599231268,12.9,129552,58.7
1786599231795,13.1,129552,57.6
1786599232327,13.0,129552,57.6
1786599232856,13.0,129552,57.1
1786599233381,13.0,129552,59.3
1786599233899,13.0,129552,60.4
1786599234418,12.9,129552,59.3
1786599234937,12.9,129552,59.3
1786599235455,12.8,129552,59.3
1786599235973,12.7,129552,59.3
1786599236493,12.9,129552,59.8
1786599237012,12.7,129552,59.8
1786599237532,12.6,129552,59.3
1786599238050,12.6,129552,58.7
1786599238583,12.7,129552,59.3
1786599239104,12.6,129552,60.4
1786599239624,12.6,129552,60.4
1786599240146,12.6,129552,59.3
1786599240664,12.5,129552,58.7
1786599241183,12.6,129552,58.7
1786599241701,12.5,129552,59.8
1786599242223,12.4,129552,58.7
1786599242741,12.4,129552,58.7
1786599243263,12.4,129552,59.8
1786599243781,12.4,129552,59.3
1786599244310,12.4,129552,58.2
1786599244906,12.4,129552,58.7
1786599245431,12.4,129552,57.1
1786599245958,12.5,129552,57.6
1786599246483,12.5,129552,58.2
1786599247012,12.5,129552,59.3
1786599247538,12.5,129552,58.7
1786599248063,12.5,129552,57.6
1786599248589,12.5,129552,58.2
1786599249113,12.6,129552,58.2
1786599249641,12.6,129552,57.6
1786599250166,12.6,129552,58.7
1786599250696,12.7,129552,58.2
1786599251222,12.6,129552,58.2
1786599251753,12.7,129552,57.6
1786599252279,12.7,129552,58.2
1786599252804,12.7,129552,58.7
1786599253328,12.7,129552,58.2
1786599253854,12.7,129552,58.2
1786599254379,12.7,129552,57.6
1786599254904,12.7,129552,58.2
1786599255433,12.8,129552,58.7
1786599255959,12.7,129552,57.1
1786599256483,12.8,129552,59.3
1786599257012,12.7,129552,58.2
1786599257530,12.7,129552,58.2
1786599258050,12.7,129552,59.8
1786599258568,12.7,129552,59.8
1786599259089,12.7,129552,58.7
1786599259613,12.6,129552,60.9
1786599260151,12.7,130784,59.8
1786599260672,12.6,130784,60.9
1786599261194,12.6,130784,60.9
1786599261717,12.6,130784,60.4
1786599262253,12.6,130784,61.5
1786599262773,12.5,130784,61.5
1786599263302,12.6,130784,60.9
1786599263824,12.5,130784,61.5
1786599264344,12.5,130784,60.4
1786599264868,12.5,130784,59.8
1786599265390,12.5,130784,60.9
1786599265909,12.5,130784,62.0
