epoch_ms,cpu_percent,rss_kib,temp_c
1786596266928,0.0,16160,58.2
1786596267458,16.9,58752,58.2
1786596267976,8.5,58752,58.7
1786596268494,9.5,100560,59.3
1786596269012,10.5,118544,58.2
1786596269531,10.0,127216,59.3
1786596270049,9.9,127568,58.2
1786596270567,10.1,127568,59.3
1786596271086,9.8,127568,59.3
1786596271605,9.8,127568,59.3
1786596272124,10.1,127584,59.3
1786596272648,10.3,127584,58.7
1786596273172,10.5,127616,57.6
1786596273698,10.7,127616,59.3
1786596274228,11.0,127616,57.6
1786596274754,10.8,127616,58.7
1786596275278,11.1,127616,58.7
1786596275804,11.2,127632,58.2
1786596276329,11.0,127632,58.2
1786596276854,11.3,127632,58.7
1786596277377,11.4,127632,57.1
1786596277902,11.4,127632,58.2
1786596278429,11.5,127632,59.3
1786596278959,11.4,127632,59.8
1786596279479,11.3,127664,59.8
1786596279998,11.3,127664,59.3
1786596280516,11.2,127664,59.3
1786596281035,11.1,127664,59.3
1786596281554,11.0,127664,60.4
1786596282075,11.0,127680,59.8
1786596282593,11.1,127680,58.7
1786596283111,11.0,127680,59.3
1786596283630,11.0,127696,58.2
1786596284157,11.0,127696,58.2
1786596284683,10.9,127744,59.3
1786596285210,11.0,127744,58.2
1786596285737,11.0,127760,59.3
1786596286261,11.0,127760,59.3
1786596286787,11.1,127760,57.6
1786596287316,11.1,127760,57.6
1786596287841,11.2,127760,59.3
1786596288365,11.2,127760,58.7
1786596288889,11.2,127760,58.7
1786596289420,11.2,127760,58.2
1786596289946,11.2,127760,59.3
1786596290470,11.2,127760,59.3
1786596291059,11.3,127760,59.3
1786596291583,11.3,127760,58.7
1786596292108,11.4,127760,58.7
1786596292633,11.4,127760,58.7
1786596293162,11.4,127760,58.2
1786596293691,11.5,127760,58.7
1786596294217,11.5,127760,58.7
1786596294743,11.5,127760,58.7
1786596295268,11.5,127760,58.7
1786596295793,11.5,127760,57.6
1786596296318,11.5,127760,57.6
1786596296843,11.5,127760,59.3
