epoch_ms,cpu_percent,rss_kib,temp_c
1786596190826,0.0,16544,58.7
1786596191352,17.3,58768,58.2
1786596191872,8.6,58768,58.2
1786596192393,9.5,104768,56.5
1786596192914,14.8,124288,56.5
1786596193433,18.3,132976,57.6
1786596193956,20.1,132992,56.5
1786596194474,21.0,133008,58.7
1786596194994,21.8,133024,58.2
1786596195512,22.0,133040,58.7
1786596196030,21.7,133056,58.7
1786596196551,22.5,133072,58.7
1786596197071,22.7,133072,58.7
1786596197594,22.8,133088,58.7
1786596198114,23.0,133088,58.2
1786596198632,22.9,133088,58.7
1786596199152,23.4,133088,56.5
1786596199679,24.0,133104,59.3
1786596200207,24.4,133120,58.7
1786596200731,24.8,133120,58.2
1786596201261,25.4,133120,57.6
1786596201784,25.6,133120,58.2
1786596202303,25.6,133120,57.6
1786596202823,25.3,133120,58.2
1786596203342,25.2,133120,58.2
1786596203863,25.3,133120,57.6
1786596204382,25.3,133120,58.2
1786596204900,25.2,133136,58.2
1786596205424,25.2,133136,58.2
1786596205942,25.2,133136,59.8
1786596206466,25.1,133136,58.2
1786596206984,25.0,133136,58.7
1786596207509,24.8,133136,58.2
1786596208032,24.9,133136,57.6
1786596208556,25.2,133152,57.1
1786596209083,25.0,133152,57.6
1786596209613,25.4,133152,58.2
1786596210144,26.2,133152,58.2
1786596210665,26.3,133184,58.2
1786596211185,26.2,133184,58.7
1786596211711,26.1,133184,59.3
1786596212230,25.9,133184,59.8
1786596212750,26.0,133184,59.3
1786596213268,25.9,133184,59.8
1786596213787,25.9,133184,59.8
1786596214310,25.8,133184,59.3
1786596214833,25.7,133184,59.8
1786596215352,25.8,133184,59.3
1786596215874,25.8,133184,59.3
1786596216391,25.7,133184,60.4
1786596216910,25.7,133184,59.3
1786596217429,25.6,133184,59.3
1786596217956,25.6,133184,59.8
1786596218474,25.6,133184,58.7
1786596218996,25.5,133184,59.8
1786596219514,25.5,133184,58.7
1786596220032,25.3,133184,60.4
1786596220551,25.1,133184,58.2
1786596221069,24.8,133184,57.6
